name,datetime (utc timezone),fan_count
bnk48official.pun,2018-05-31 16:00:00,455930
bnk48official.cherprang,2018-05-31 16:00:00,415694
bnk48official.orn,2018-05-31 16:00:00,267044
bnk48official.noey,2018-05-31 16:00:00,213655
bnk48official.jennis,2018-05-31 16:00:00,209796
bnk48official.music,2018-05-31 16:00:00,204736
bnk48official.kaimook,2018-05-31 16:00:00,202441
bnk48official.mobile,2018-05-31 16:00:00,202171
bnk48official.kaew,2018-05-31 16:00:00,166108
bnk48official.jan,2018-05-31 16:00:00,134549
bnk48official.satchan,2018-05-31 16:00:00,129397
bnk48official.tarwaan,2018-05-31 16:00:00,127155
bnk48official.namneung,2018-05-31 16:00:00,124643
bnk48official.pupe,2018-05-31 16:00:00,117201
bnk48official.can,2018-05-31 16:00:00,105916
bnk48official.namsai,2018-05-31 16:00:00,98463
bnk48official.miori,2018-05-31 16:00:00,85426
bnk48official.mewnich,2018-05-31 16:00:00,84433
bnk48official.jane,2018-05-31 16:00:00,76909
bnk48official.korn,2018-05-31 16:00:00,74710
bnk48official.mind,2018-05-31 16:00:00,71273
bnk48official.maysa,2018-05-31 16:00:00,69657
bnk48official.nink,2018-05-31 16:00:00,63114
bnk48official.jaa,2018-05-31 16:00:00,59609
bnk48official.piam,2018-05-31 16:00:00,58928
bnk48official.izutarina,2018-05-31 16:00:00,54467
bnk48official.fond,2018-05-31 16:00:00,47635
bnk48official.jib,2018-05-31 16:00:00,47547
bnk48official.ratah,2018-05-31 16:00:00,43275
bnk48official.kate,2018-05-31 16:00:00,40122
bnk48official.june,2018-05-31 16:00:00,35924
bnk48official.bamboo,2018-05-31 16:00:00,25144
bnk48official.cake,2018-05-31 16:00:00,20745
bnk48official.panda,2018-05-31 16:00:00,19699
bnk48official.wee,2018-05-31 16:00:00,18897
bnk48official.phukkhom,2018-05-31 16:00:00,15916
bnk48official.kheng,2018-05-31 16:00:00,15482
bnk48official.new,2018-05-31 16:00:00,14931
bnk48official.niky,2018-05-31 16:00:00,13823
bnk48official.stang,2018-05-31 16:00:00,13818
pakwan.bnk48official,2018-05-31 16:00:00,13717
bnk48official.natherine,2018-05-31 16:00:00,13674
bnk48official.oom,2018-05-31 16:00:00,13046
bnk48official.aom,2018-05-31 16:00:00,12861
bnk48official.view,2018-05-31 16:00:00,12819
bnk48official.faii,2018-05-31 16:00:00,12720
bnk48official.minmin,2018-05-31 16:00:00,11674
bnk48official.maira,2018-05-31 16:00:00,10331
bnk48official.deenee,2018-05-31 16:00:00,10228
bnk48official.gygee,2018-05-31 16:00:00,9748
bnk48official.myyu,2018-05-31 16:00:00,9324
bnk48official.khamin,2018-05-31 16:00:00,9288
bnk48official.nine,2018-05-31 16:00:00,7245
