name,datetime (utc timezone),followed
pun.bnk48official,2018-05-31 15:00:00,468552
cherprang.bnk48official,2018-05-31 15:00:00,396825
orn.bnk48official,2018-05-31 15:00:00,311562
jennis.bnk48official,2018-05-31 15:00:00,284052
music.bnk48official,2018-05-31 15:00:00,275957
mobile.bnk48official,2018-05-31 15:00:00,272628
noey.bnk48office,2018-05-31 15:00:00,260416
kaimook.bnk48official,2018-05-31 15:00:00,243351
kaew.bnk48official,2018-05-31 15:00:00,220602
tarwaan.bnk48office,2018-05-31 15:00:00,196814
satchan.bnk48official,2018-05-31 15:00:00,192267
namneung.bnk48official,2018-05-31 15:00:00,183540
pupe.bnk48official,2018-05-31 15:00:00,171982
namsai.bnk48official,2018-05-31 15:00:00,163280
miori.bnk48official,2018-05-31 15:00:00,162103
jane.bnk48official,2018-05-31 15:00:00,160778
can.bnk48official,2018-05-31 15:00:00,154904
jaa.bnk48official,2018-05-31 15:00:00,141751
rinaizuta.bnk48official,2018-05-31 15:00:00,140668
korn.bnk48official,2018-05-31 15:00:00,138042
mind.bnk48official,2018-05-31 15:00:00,130424
maysa.bnk48official,2018-05-31 15:00:00,130268
nink.bnk48official,2018-05-31 15:00:00,122578
kate.bnk48official,2018-05-31 15:00:00,114633
piam.bnk48office,2018-05-31 15:00:00,114429
jib.bnk48office,2018-05-31 15:00:00,108174
mewnich.bnk48official,2018-05-31 15:00:00,95174
fond.bnk48office,2018-05-31 15:00:00,82271
june.bnk48office,2018-05-31 15:00:00,78298
ratah.bnk48official,2018-05-31 15:00:00,65583
cake.bnk48official,2018-05-31 15:00:00,57608
bamboo.bnk48office,2018-05-31 15:00:00,57088
aom.bnk48official,2018-05-31 15:00:00,51140
panda.bnk48official,2018-05-31 15:00:00,49508
myyu.bnk48official,2018-05-31 15:00:00,49473
pakwan.bnk48office,2018-05-31 15:00:00,49407
deenee.bnk48official,2018-05-31 15:00:00,48520
wee.bnk48official,2018-05-31 15:00:00,47817
kheng.bnk48official,2018-05-31 15:00:00,46765
phukkhom.bnk48office,2018-05-31 15:00:00,46017
niky.bnk48office,2018-05-31 15:00:00,45413
fifa.bnk48official,2018-05-31 15:00:00,44146
view.bnk48official,2018-05-31 15:00:00,43790
stang.bnk48office,2018-05-31 15:00:00,43601
new.bnk48official,2018-05-31 15:00:00,43599
gygee.bnk48official,2018-05-31 15:00:00,42467
khamin.bnk48official,2018-05-31 15:00:00,41318
minmin.bnk48office,2018-05-31 15:00:00,41043
natherine.bnk48official,2018-05-31 15:00:00,39601
maira.bnk48official,2018-05-31 15:00:00,39520
oom.bnk48official,2018-05-31 15:00:00,39074
faii.bnk48official,2018-05-31 15:00:00,38964
nine.bnk48official,2018-05-31 15:00:00,35865
pun.bnk48official,2018-05-31 14:00:00,468461
cherprang.bnk48official,2018-05-31 14:00:00,396758
orn.bnk48official,2018-05-31 14:00:00,311466
jennis.bnk48official,2018-05-31 14:00:00,283981
music.bnk48official,2018-05-31 14:00:00,275861
mobile.bnk48official,2018-05-31 14:00:00,272550
noey.bnk48office,2018-05-31 14:00:00,260362
kaimook.bnk48official,2018-05-31 14:00:00,243273
kaew.bnk48official,2018-05-31 14:00:00,220544
tarwaan.bnk48office,2018-05-31 14:00:00,196768
satchan.bnk48official,2018-05-31 14:00:00,192220
namneung.bnk48official,2018-05-31 14:00:00,183497
pupe.bnk48official,2018-05-31 14:00:00,171935
namsai.bnk48official,2018-05-31 14:00:00,163230
miori.bnk48official,2018-05-31 14:00:00,162059
jane.bnk48official,2018-05-31 14:00:00,160741
can.bnk48official,2018-05-31 14:00:00,154880
jaa.bnk48official,2018-05-31 14:00:00,141714
rinaizuta.bnk48official,2018-05-31 14:00:00,140637
korn.bnk48official,2018-05-31 14:00:00,138000
mind.bnk48official,2018-05-31 14:00:00,130383
maysa.bnk48official,2018-05-31 14:00:00,130230
nink.bnk48official,2018-05-31 14:00:00,122551
kate.bnk48official,2018-05-31 14:00:00,114608
piam.bnk48office,2018-05-31 14:00:00,114397
jib.bnk48office,2018-05-31 14:00:00,108144
mewnich.bnk48official,2018-05-31 14:00:00,95092
fond.bnk48office,2018-05-31 14:00:00,82217
june.bnk48office,2018-05-31 14:00:00,78261
ratah.bnk48official,2018-05-31 14:00:00,65542
cake.bnk48official,2018-05-31 14:00:00,57580
bamboo.bnk48office,2018-05-31 14:00:00,57049
aom.bnk48official,2018-05-31 14:00:00,51119
panda.bnk48official,2018-05-31 14:00:00,49479
myyu.bnk48official,2018-05-31 14:00:00,49419
pakwan.bnk48office,2018-05-31 14:00:00,49374
deenee.bnk48official,2018-05-31 14:00:00,48493
