,GROWTHDAY,GROWTHPERCENT,RANGE,name
0,1011.266667,24.54848524,30338,can
1,1820.3,16.05448217,54609,cherprang
23,751.8333333,19.21929854,22555,izutarina
2,866.1666667,22.6585049,25985,jaa
3,1063.833333,24.99647551,31915,jane
4,1699.1,22.06900433,50973,jennis
5,671.6333333,23.1024124,20149,jib
6,1298.5,21.65718765,38955,kaew
7,1421.2,21.43266476,42636,kaimook
8,709.3666667,22.99182143,21281,kate
9,911.5333333,24.95961154,27346,korn
10,827.8,23.78052284,24834,maysa
11,816.6666667,23.34311521,24500,mind
12,878.8666667,19.58011837,26366,miori
13,1742.166667,23.96344846,52265,mobile
14,1656.3,22.21849596,49689,music
15,1233.266667,25.49810132,36998,namneung
16,990.6333333,22.45706038,29719,namsai
17,714.6333333,21.3829766,21439,nink
18,1517.666667,21.36716037,45530,noey
19,1943.8,23.26845268,58314,orn
20,705.7,22.87915793,21171,piam
21,2316.7,17.53446292,69501,pun
22,1094.766667,23.8365848,32843,pupe
24,1177.133333,22.72940843,35314,satchan
25,1189.2,22.35450399,35676,tarwaan
