name,RANGE,RANGEig,GROWTHPERCENT,GROWTHPERCENTig,GROWTHDAY,GROWTHDAYig
can,21227,30338,25.14898406,24.54848524,707.5666667,1011.266667
cherprang,42152,54609,11.32022774,16.05448217,1405.066667,1820.3
izutarina,8309,22555,18.07915751,19.21929854,276.9666667,751.8333333
jaa,7973,25985,15.48576312,22.6585049,265.7666667,866.1666667
jane,12185,31915,18.90964959,24.99647551,406.1666667,1063.833333
jennis,28625,50973,15.9064009,22.06900433,954.1666667,1699.1
jib,7920,20149,20.09846216,23.1024124,264,671.6333333
kaew,28218,38955,20.60926533,21.65718765,940.6,1298.5
kaimook,33450,42636,19.88254734,21.43266476,1115,1421.2
kate,5168,21281,14.79784675,22.99182143,172.2666667,709.3666667
korn,14233,27346,23.63775264,24.95961154,474.4333333,911.5333333
maysa,10704,24834,18.22950373,23.78052284,356.8,827.8
mind,11903,24500,20.18757844,23.34311521,396.7666667,816.6666667
miori,7696,26366,9.915736852,19.58011837,256.5333333,878.8666667
mobile,30769,52265,18.03966863,23.96344846,1025.633333,1742.166667
music,27695,49689,15.70848411,22.21849596,923.1666667,1656.3
namneung,17055,36998,15.93448688,25.49810132,568.5,1233.266667
namsai,13262,29719,15.64837758,22.45706038,442.0666667,990.6333333
nink,7481,21439,13.47054163,21.3829766,249.3666667,714.6333333
noey,25966,45530,13.89328825,21.36716037,865.5333333,1517.666667
orn,41034,58314,18.25120425,23.26845268,1367.8,1943.8
piam,9373,21171,18.96523815,22.87915793,312.4333333,705.7
pun,36499,69501,8.725242939,17.53446292,1216.633333,2316.7
pupe,18250,32843,18.54561714,23.8365848,608.3333333,1094.766667
satchan,20511,35314,18.86641464,22.72940843,683.7,1177.133333
tarwaan,17137,35676,15.66782779,22.35450399,571.2333333,1189.2
