,name,totalpost,totalreaction,totalshare,totalcomment,averreaction,avercomment,avershare,maxreaction,idremax,maxcomment,idcomax,maxshare,idshamax,photo,video,status,link,FBMAX
0,can,365,1178321,79242,32509,3228.276712,89.06575342,217.1013699,28280,1101940286600866_1560890594039164,4909,1101940286600866_1559804587481098,6823,1101940286600866_1559804587481098,301,51,5,8,105632
1,cherprang,645,6635041,295770,90258,10286.88527,139.9348837,458.5581395,87195,1244451205642938_1652960844791970,4406,1244451205642938_1697320650355989,5576,1244451205642938_1648981385189916,526,93,1,25,414512
2,izutarina,613,714865,12828,16192,1166.174551,26.41435563,20.92659054,12337,192097191312105_322723228249500,521,192097191312105_322723228249500,478,192097191312105_322723228249500,493,45,0,75,54268
3,jaa,362,614463,26967,14869,1697.411602,41.07458564,74.49447514,11719,678369835689176_874991079360383,364,678369835689176_874991079360383,1025,678369835689176_884895481703276,332,29,1,0,59459
4,jane,348,619657,30606,11061,1780.623563,31.78448276,87.94827586,16265,1836134889992813_2040143802925253,482,1836134889992813_2040143802925253,2021,1836134889992813_2038093259796974,294,54,0,0,76623
5,jennis,633,3028106,110824,53805,4783.737757,85,175.0774092,47553,377477525964786_561871280858742,1432,377477525964786_579515715760965,2594,377477525964786_561871280858742,454,82,90,7,208584
6,jib,180,240238,9537,6626,1334.655556,36.81111111,52.98333333,8607,1639661256329148_1785779248384014,325,1639661256329148_1785779248384014,470,1639661256329148_1797251470570125,176,1,3,0,47326
7,kaew,419,1653906,91004,34587,3947.26969,82.54653938,217.1933174,35788,244141829364129_429043857540591,1368,244141829364129_336996406745337,9533,244141829364129_336996406745337,332,73,1,13,165137
8,kaimook,499,2578814,162413,47026,5167.963928,94.24048096,325.4769539,40139,1847059015573535_2033785606900874,911,1847059015573535_2033785606900874,5718,1847059015573535_2055294348083333,396,92,3,8,201688
9,kate,172,211888,11841,5490,1231.906977,31.91860465,68.84302326,8890,404488706585305_592189917815182,315,404488706585305_592189917815182,3037,404488706585305_574278299606344,148,21,3,0,40092
10,korn,288,636831,25045,16302,2211.21875,56.60416667,86.96180556,15806,1372941429435830_1779445018785467,564,1372941429435830_1779445018785467,827,1372941429435830_1849720328424602,241,30,15,2,74446
11,maysa,380,621544,27268,13172,1635.642105,34.66315789,71.75789474,15238,224218921376880_399717830493654,685,224218921376880_370679980064106,1189,224218921376880_412497122549058,366,14,0,0,69422
12,mind,218,487733,30337,12055,2237.307339,55.29816514,139.1605505,15417,1485756048150292_2451365171589370,491,1485756048150292_2451365171589370,1254,1485756048150292_2479779552081265,181,31,6,0,70865
13,miori,455,797751,23590,15493,1753.298901,34.05054945,51.84615385,20191,1747261302163006_1922845677937900,542,1747261302163006_1922845677937900,887,1747261302163006_1922845677937900,428,26,0,1,85310
14,mobile,451,2533750,118709,49900,5618.070953,110.6430155,263.2128603,55425,412136369140053_608765262810495,2173,412136369140053_608765262810495,3302,412136369140053_624426267911061,365,83,3,0,201332
15,music,420,2634871,129170,43186,6273.502381,102.8238095,307.547619,49104,719127414916016_929050413923714,1529,719127414916016_929050413923714,3407,719127414916016_929050413923714,379,34,2,5,204001
16,namneung,346,873579,44549,15671,2524.794798,45.29190751,128.7543353,20301,626497777542846_828556127337009,476,626497777542846_828556127337009,2778,626497777542846_828556127337009,287,55,2,2,124087
17,namsai,384,1035872,66169,19690,2697.583333,51.27604167,172.3151042,24383,1916912851863580_2122651144623082,597,1916912851863580_2108238489397681,3976,1916912851863580_2122651144623082,346,34,4,0,98012
18,nink,330,405712,10715,7830,1229.430303,23.72727273,32.46969697,9837,1155611761204422_1527780520654209,189,1155611761204422_1442306672534928,552,1155611761204422_1504669476298647,300,30,0,0,63017
19,noey,338,2359661,131426,42684,6981.245562,126.2840237,388.8343195,48165,302183486851617_462515014151796,1417,302183486851617_484031928666771,3899,302183486851617_474980779571886,300,38,0,0,212862
20,orn,664,4773213,225021,100126,7188.573795,150.7921687,338.8870482,60256,737460709751015_947645608732523,4204,737460709751015_967011086795975,7639,737460709751015_974557872707963,492,108,38,26,265863
21,piam,304,411411,20113,9797,1353.325658,32.22697368,66.16118421,12871,602655736590296_802149709974230,531,602655736590296_802149709974230,865,602655736590296_802149709974230,281,15,8,0,58795
22,pun,375,4125151,291473,54183,11000.40267,144.488,777.2613333,92348,1766861650299003_1994593180859181,1967,1766861650299003_1958893647762468,13306,1766861650299003_1995770010741498,307,67,0,1,454814
23,pupe,553,1677894,85897,38319,3034.166365,69.29294756,155.3291139,23394,1784166245236547_2018725308447305,716,1784166245236547_2014412938878542,2294,1784166245236547_2027993987520437,418,108,23,4,116656
24,satchan,291,731692,27570,12564,2514.405498,43.17525773,94.74226804,28213,1687652811533778_1892744061024651,686,1687652811533778_1892744061024651,1528,1687652811533778_1922418418057215,259,27,0,5,129228
25,tarwaan,347,1157154,51105,19145,3334.737752,55.17291066,147.2766571,23403,1853455571604493_2084469575169757,403,1853455571604493_2075758239374224,1611,1853455571604493_2070621836554531,293,53,0,1,126514
